Applicant SSN,Credit Score,Number of Credit Accounts,Number of Derogatory Marks
652-20-1801,850,2,0
387-84-7978,620,2,0
,448,3,1
,796,3,1
533-03-1962,582,12,2
638-51-9976,755,10,1
420-06-4479,775,0,0
065-52-8425,512,12,0
744-35-7397,721,0,0
611-66-3535,707,15,4
674-84-8119,783,11,3
272-57-1102,850,6,1
642-59-5634,587,12,0
865-18-4415,840,2,0
178-67-9204,792,0,0
652-62-4595,671,13,1
350-88-1033,801,10,2
529-63-8474,817,5,1
542-32-6636,850,4,1
447-12-2918,850,9,2
534-33-4636,690,11,3
508-47-7099,509,3,1
672-20-9476,645,0,0
580-55-3467,620,12,0
,695,3,1
376-85-4540,424,3,0
604-06-6505,650,15,1
021-08-4382,793,13,1
,480,6,2
543-40-1606,836,15,3
660-48-1468,551,4,1
771-57-3335,820,11,1
250-51-8887,385,11,2
242-18-8156,616,15,5
279-22-0111,678,8,1
351-31-6059,701,6,0
488-01-1272,415,8,2
062-56-1467,829,1,0
330-23-5254,494,11,2
316-26-3348,807,11,2
,850,9,1
251-62-0535,503,11,0
183-08-3291,660,4,0
283-53-4196,850,10,0
835-86-4857,850,4,0
538-32-6370,850,3,1
879-88-2549,624,12,1
323-07-9971,728,7,0
686-12-5257,677,14,0
298-65-3219,695,6,0
656-59-7098,850,2,0
718-52-5161,486,10,3
256-63-7406,515,2,0
889-22-5148,850,4,1
589-46-4707,836,7,1
503-50-6712,850,6,1
169-02-4269,713,3,1
449-87-0383,656,7,2
788-53-4047,615,10,3
538-62-4231,589,4,0
105-63-8732,839,6,1
474-24-7164,367,6,1
723-39-6233,380,10,1
626-82-3328,671,10,0
702-54-2566,756,10,1
499-46-0862,670,1,0
029-33-9208,579,2,0
357-89-2480,734,7,0
696-84-5481,597,3,0
304-38-2661,489,1,0
499-11-0710,396,2,0
522-86-1014,670,14,0
788-71-9822,775,11,3
891-05-0484,850,3,1
003-55-9957,499,2,0
088-25-7499,685,4,1
,610,13,3
099-36-9669,850,2,0
387-24-9608,719,6,0
250-15-4777,528,13,3
,785,1,0
396-31-8528,816,3,0
,741,15,4
790-75-5008,813,6,0
067-34-0552,577,11,3
333-48-4490,758,5,0
503-28-0295,785,4,1
267-75-6539,667,2,0
564-49-5419,497,5,0
277-29-6159,850,13,3
,850,4,0
434-78-5261,482,0,0
898-89-1783,850,5,0
277-84-9103,596,11,1
240-69-0075,704,2,0
438-55-2562,829,6,1
394-70-7980,526,12,1
074-47-2747,767,5,0
540-56-1926,850,6,1
459-52-8012,509,10,3
428-44-3165,615,8,2
662-49-2052,604,14,4
485-94-8545,732,13,0
840-98-7629,725,11,1
506-77-1437,755,2,0
035-67-1472,662,13,3
155-10-5078,595,7,0
174-47-7852,517,3,0
084-34-0991,443,0,0
498-99-3096,558,0,0
297-82-6382,639,7,0
541-89-8167,565,0,0
,850,12,2
407-12-1718,592,11,0
888-39-2472,740,1,0
643-82-6696,850,9,2
340-91-7622,850,4,1
586-23-5706,787,5,1
339-74-7661,850,0,0
541-86-1130,700,14,4
004-99-8051,836,11,3
516-52-6709,760,7,0
018-92-5724,624,0,0
383-48-5076,488,10,3
014-15-3612,681,3,1
251-92-4136,766,14,2
216-80-7298,662,1,0
246-92-4329,601,4,1
812-24-9407,847,2,0
551-95-9566,704,0,0
423-55-9434,437,0,0
863-87-7613,529,3,0
703-20-1006,307,8,0
865-06-5825,614,4,1
753-71-3148,663,1,0
022-89-4188,640,13,0
177-18-3535,699,9,0
,535,2,0
737-85-4055,610,13,2
399-26-0860,629,14,2
387-81-3909,503,13,0
196-68-2914,609,8,2
,685,2,0
771-64-0920,748,2,0
275-49-3611,838,5,0
650-47-8637,466,2,0
505-34-2196,581,5,1
633-03-3501,448,3,0
868-12-2432,850,7,2
108-61-4800,424,6,2
706-77-3183,850,6,0
325-36-1496,595,2,0
586-34-6740,765,3,0
595-31-3623,565,6,0
586-86-7730,687,8,0
321-83-9253,787,3,0
538-50-1344,685,14,3
618-26-7914,736,14,4
392-78-9660,613,8,2
635-93-0625,732,11,2
455-13-5544,835,10,0
276-61-0949,573,12,1
374-27-0700,764,11,0
073-51-9178,546,15,1
421-47-4124,561,15,0
684-45-5149,687,5,0
631-43-9465,722,4,1
135-18-3220,658,6,2
498-53-1866,739,1,0
169-37-7970,721,4,1
719-43-3467,699,7,0
266-38-9572,764,12,2
214-10-9179,841,12,4
610-81-7334,659,6,0
708-04-6736,672,6,0
098-53-7286,780,8,0
,635,11,2
877-44-3995,599,6,2
833-91-9362,699,1,0
539-27-8287,801,2,0
616-75-0491,850,12,4
815-93-5011,773,13,1
559-40-7729,742,2,0
014-25-0659,696,13,1
804-54-2494,512,1,0
564-68-9153,603,14,3
020-21-0705,710,9,3
529-22-4929,809,15,4
211-86-2707,744,1,0
030-97-4125,676,15,0
682-11-0716,438,12,3
238-14-9415,738,12,1
128-85-8917,605,5,1
759-46-1049,594,5,0
509-93-8710,584,13,2
741-14-7253,595,11,1
429-46-7892,714,11,2
,609,5,0
643-80-3816,807,6,1
623-65-9915,511,1,0
260-10-0982,482,11,0
780-54-0988,745,1,0
044-32-8425,716,8,0
522-61-0207,850,2,0
242-81-5636,432,12,3
776-97-3396,693,2,0
367-58-8955,549,11,1
099-86-1328,625,5,0
580-98-2378,850,11,2
766-69-3046,621,7,1
880-58-2632,777,9,3
554-59-2350,558,5,0
169-16-2454,689,2,0
785-33-3672,850,15,5
238-10-9524,478,3,1
496-30-5813,527,5,0
184-38-9529,664,2,0
064-77-0283,519,0,0
691-28-7166,582,8,2
343-19-7637,714,14,1
702-47-1232,740,2,0
015-67-5542,727,11,2
258-75-3965,533,4,0
856-21-8336,702,9,0
760-47-1458,519,1,0
665-02-9054,637,2,0
487-35-7993,515,9,3
762-49-2394,659,1,0
808-42-4063,850,2,0
762-75-2371,526,3,0
534-55-9834,702,15,3
107-92-7646,850,8,1
062-96-3386,620,14,2
002-09-8085,761,9,1
,619,11,1
230-03-7090,558,8,2
,560,5,0
297-02-3601,646,14,3
287-01-2072,688,5,0
741-52-0231,671,13,2
456-77-2450,644,3,1
,792,6,1
777-26-7925,796,12,3
237-92-6311,837,2,0
,850,2,0
797-16-8291,615,8,0
405-04-2284,469,4,0
370-94-4286,818,2,0
456-96-8698,713,15,2
108-12-3101,742,15,2
235-18-6276,802,11,0
696-98-6877,767,13,0
121-33-9437,591,10,2
707-60-0827,771,9,0
,677,14,4
679-21-0745,705,2,0
247-48-5304,663,4,0
688-97-0104,473,7,0
261-90-6365,496,5,1
686-06-0151,596,7,0
891-63-4956,681,3,0
654-64-9969,740,10,3
,432,12,3
760-97-3300,576,12,1
077-54-6068,679,15,5
181-92-4475,586,8,0
637-97-8910,440,12,0
445-67-9023,818,5,1
132-11-7018,604,11,1
804-51-4531,411,9,3
,850,12,3
427-83-2904,748,15,3
619-30-8121,617,3,1
084-37-9941,781,11,1
521-72-4361,510,11,1
872-84-8603,626,0,0
140-54-3652,646,8,2
097-81-8726,571,15,0
433-81-7316,634,8,0
176-12-3738,621,15,5
870-62-5235,563,4,0
315-62-1939,685,1,0
631-63-4538,596,2,0
875-76-9543,616,4,1
102-29-6783,850,7,1
,602,1,0
727-31-2823,813,15,1
088-68-4502,784,1,0
868-55-0261,626,0,0
227-34-8475,570,14,4
504-44-8918,592,0,0
212-70-9489,427,15,4
464-91-5098,751,11,0
800-87-6190,608,6,2
421-61-6399,486,9,1
433-42-4224,744,1,0
085-88-0726,656,12,2
511-14-9597,480,13,4
083-53-9693,766,13,2
132-38-8788,682,12,2
469-65-6434,801,8,2
747-48-9109,477,4,1
637-44-3439,496,10,3
802-73-9136,727,13,2
056-25-5908,527,2,0
382-83-0715,659,3,0
,794,11,3
459-05-5677,564,12,3
415-31-3649,755,10,3
758-59-3094,544,2,0
172-05-0253,655,14,4
135-41-0279,571,15,4
405-71-1158,613,1,0
850-58-7481,615,15,3
354-52-3505,818,8,1
767-89-3018,850,12,0
111-26-2728,714,6,0
581-71-5449,667,0,0
018-34-5582,680,4,0
519-28-9038,793,10,0
489-28-2763,726,12,2
688-45-7120,850,8,2
304-73-1210,618,8,1
098-87-1049,805,11,1
409-29-0315,745,10,3
301-42-7809,643,2,0
563-59-1453,850,8,0
304-96-4867,600,1,0
129-50-5181,850,6,1
861-37-3375,850,5,1
150-67-3557,813,0,0
,850,2,0
582-75-9426,850,11,3
407-79-0301,671,4,1
172-73-7513,615,5,0
670-71-2559,850,1,0
089-77-4263,550,14,4
759-64-0435,685,15,0
381-49-8565,553,10,0
739-25-2504,819,13,2
059-08-9218,614,5,1
759-27-3043,585,3,0
682-91-7439,744,4,1
258-16-5181,430,9,1
710-65-4353,559,2,0
032-65-0942,759,1,0
170-14-8304,730,4,1
751-41-2439,694,3,1
546-97-5090,786,15,2
244-56-8635,548,2,0
122-42-8548,554,5,0
723-87-0061,805,8,0
860-13-8253,850,1,0
879-30-4849,769,13,3
214-76-3285,521,14,4
032-45-7521,665,5,0
579-84-2406,515,9,2
502-26-9596,850,13,3
262-83-1032,577,13,3
306-56-6964,850,0,0
155-47-7640,435,8,0
,729,7,0
782-84-7283,850,14,4
378-37-6241,827,0,0
,570,5,1
,771,15,3
807-37-7971,414,7,2
085-05-3881,526,11,3
230-40-9975,612,8,0
527-97-8568,454,8,0
,634,5,0
482-93-0826,458,0,0
827-51-0494,850,13,4
336-43-2931,662,15,4
848-66-8449,739,2,0
436-43-7027,780,7,1
330-79-4609,850,3,1
830-30-0297,775,8,0
711-94-5518,722,15,5
097-96-9844,589,13,2
812-04-3277,658,9,2
598-80-2994,696,13,2
235-27-1138,608,13,1
263-42-5285,486,10,0
650-35-2866,664,13,1
624-69-1011,850,12,2
,850,8,2
715-89-3442,730,0,0
186-08-9426,806,14,1
494-31-9389,696,6,1
,767,4,1
682-66-6315,748,0,0
050-07-0981,462,12,0
155-47-4159,669,2,0
252-65-8462,591,12,0
124-79-3977,435,0,0
134-68-2961,709,13,4
693-53-2748,850,4,1
845-64-4660,577,7,2
108-76-9349,485,13,0
875-70-1849,687,1,0
884-02-4957,850,14,3
336-38-6472,759,2,0
837-63-3681,695,15,0
196-80-9790,785,12,4
,850,13,4
598-45-6070,583,1,0
,517,6,2
326-86-7245,600,9,3
524-77-6585,568,2,0
181-36-1016,754,15,4
,478,15,3
604-16-0940,610,10,0
453-12-8973,683,6,1
,850,1,0
104-95-8432,746,12,3
125-06-2928,781,12,2
005-50-1795,486,14,3
288-82-5804,646,1,0
617-95-0822,656,5,0
043-19-8457,809,8,0
670-56-3031,610,8,1
338-59-3069,663,14,3
552-69-2892,459,9,1
679-77-3291,322,9,0
637-47-7740,485,0,0
019-06-5579,561,7,2
023-27-6299,745,1,0
754-35-2730,430,6,0
141-78-0933,635,9,3
,465,10,3
553-11-9463,720,6,2
230-73-6304,563,9,0
164-73-4452,601,5,0
418-70-7820,850,9,3
350-36-2537,850,5,1
377-44-8194,848,12,1
319-85-7745,802,4,1
742-56-1839,850,1,0
007-69-9883,566,13,3
111-39-8297,728,3,0
727-59-3908,593,6,1
520-08-6739,850,2,0
535-93-7968,850,4,1
475-93-8121,740,11,1
665-88-5480,787,2,0
,706,8,0
689-34-3471,740,9,0
172-07-3638,753,15,0
145-08-3875,653,7,1
896-98-9172,687,9,0
585-37-5076,605,4,1
163-33-0819,850,13,1
575-44-1194,713,6,2
304-88-9568,706,13,2
615-07-5184,719,3,1
306-88-3508,679,1,0
323-55-1541,822,2,0
133-65-2816,559,6,1
110-97-6481,630,8,2
720-95-3399,424,0,0
121-83-9747,589,11,2
191-37-2414,667,4,1
540-52-9399,665,4,1
734-98-4407,687,11,1
188-34-5415,735,12,1
323-63-1694,608,9,0
742-83-7731,738,12,4
395-50-6623,726,0,0
095-96-6018,733,15,0
585-25-6858,668,1,0
795-51-1691,627,1,0
,850,2,0
792-71-7322,740,13,3
446-61-1631,573,7,0
203-43-4850,699,11,3
066-30-7800,815,11,1
027-36-6146,590,6,1
818-27-3416,850,0,0
183-67-7782,736,8,1
375-62-8841,810,3,0
260-10-9178,817,10,1
861-14-9710,622,1,0
044-88-4872,721,15,3
639-34-1424,791,14,4
,519,12,0
661-14-8993,420,11,3
,539,3,1
669-03-9605,664,14,1
214-14-3868,553,2,0
645-39-5724,518,8,2
577-82-2877,655,2,0
112-45-9275,698,2,0
696-27-0230,689,10,2
051-83-5446,685,14,0
669-38-7281,819,1,0
485-42-6450,814,3,0
246-51-1230,707,0,0
895-25-7706,719,8,1
049-31-0958,580,3,1
562-41-6033,850,2,0
155-98-2574,375,14,0
562-98-8325,615,0,0
257-09-1897,705,5,1
745-04-2486,602,9,1
,462,14,2
073-40-9530,638,13,4
028-79-8039,410,3,0
287-15-6808,712,1,0
,721,14,4
723-18-7627,815,3,1
,798,1,0
690-78-0383,808,8,0
182-16-6649,759,2,0
,782,1,0
845-55-9076,534,4,0
806-28-3948,817,2,0
624-07-0958,482,8,1
180-27-4851,809,3,0
893-10-8972,674,9,1
294-69-6235,569,10,2
849-78-8412,609,8,1
166-14-1385,789,5,0
603-97-0647,850,1,0
551-59-6942,726,3,1
303-95-6050,555,5,0
075-24-0778,563,7,2
664-75-9741,836,11,3
542-18-7335,774,10,0
,850,8,2
013-77-5703,567,12,3
850-50-2794,588,0,0
171-59-3609,683,4,0
735-42-0691,647,4,0
,736,6,0
585-89-0257,728,13,0
511-12-5358,358,12,4
778-36-3279,432,2,0
295-01-5706,362,4,0
670-42-1003,782,8,2
285-34-2035,670,5,1
631-33-5502,369,9,3
493-98-8841,566,7,2
778-10-1766,656,1,0
270-30-2032,570,4,1
241-33-0955,676,3,1
,640,2,0
638-39-6700,530,6,0
383-67-2998,772,1,0
212-67-3860,598,7,0
277-73-1854,827,2,0
856-39-6596,828,6,2
750-73-6377,734,9,1
844-49-9845,703,10,1
362-29-6860,850,2,0
517-12-3146,300,7,2
611-81-8112,850,9,2
822-59-0789,702,7,2
,640,11,3
382-57-5424,600,5,0
832-66-8891,662,5,1
014-97-8094,579,9,2
585-33-4817,639,9,3
090-83-5415,616,14,4
082-08-9617,817,12,2
702-25-8695,748,13,4
609-47-1532,829,2,0
727-88-1819,715,5,0
750-30-8367,612,2,0
512-10-5959,636,12,2
079-94-6906,664,2,0
194-19-1072,769,9,2
337-74-6019,850,6,0
181-72-1546,413,12,0
301-65-9375,809,9,0
763-85-6993,850,14,3
243-82-8394,666,13,4
306-54-2071,826,10,2
580-17-7809,338,7,0
200-66-6200,700,12,1
864-85-7097,702,4,1
,688,0,0
399-77-5805,756,12,2
081-79-7522,609,13,3
148-01-4944,768,10,2
813-81-0414,732,14,0
805-14-1922,850,14,3
496-53-2816,850,4,0
406-48-3214,511,0,0
470-80-1830,850,1,0
371-89-2145,738,3,1
679-16-7443,533,7,1
462-10-9084,605,5,0
776-98-2928,616,5,0
709-21-9445,776,6,1
822-23-1330,850,14,2
799-74-9505,850,13,1
504-47-7850,641,14,2
070-17-5875,477,15,5
093-34-1389,626,8,1
,850,15,5
614-54-9357,749,6,2
353-45-4544,706,4,1
220-15-5904,592,13,3
399-27-8716,488,9,0
421-40-5760,700,14,0
210-38-0866,622,4,0
288-58-6745,850,11,3
545-37-7657,716,12,3
443-88-7767,765,1,0
084-94-8100,604,5,1
062-38-9661,690,11,3
185-73-5625,706,12,0
435-77-7506,850,0,0
561-06-0934,834,1,0
190-48-0105,649,13,4
834-76-3898,582,13,4
545-49-3747,747,2,0
079-54-0379,526,6,1
172-88-6077,622,1,0
191-44-4667,647,8,0
674-86-0222,685,10,1
268-65-1744,555,13,0
751-89-9053,459,10,1
191-31-0685,712,4,1
873-73-1692,413,3,0
762-96-9827,806,2,0
310-39-2511,773,13,3
322-48-6957,695,11,1
035-31-1695,761,13,4
867-46-6056,717,6,2
734-56-0811,716,7,0
640-47-8203,610,6,2
892-31-0071,462,15,4
599-26-3112,850,2,0
225-30-6390,750,5,0
051-60-1945,850,1,0
701-06-2682,717,0,0
430-03-9472,664,3,0
725-41-0287,300,9,0
778-53-9702,617,11,0
527-70-1857,476,2,0
169-63-8141,850,0,0
119-58-4881,850,0,0
,428,2,0
110-95-5725,606,9,0
393-04-3202,774,7,0
653-78-1011,673,0,0
519-16-6426,691,9,2
,826,1,0
679-83-8582,706,1,0
897-36-0107,714,11,2
494-57-7947,850,2,0
,629,9,0
205-81-7163,484,9,2
859-31-8989,850,10,3
077-80-7767,850,6,2
413-17-7806,425,15,1
576-89-3427,850,10,2
141-55-6446,378,9,3
815-62-2620,652,13,0
662-98-4640,614,12,2
040-58-2617,664,0,0
595-54-3556,850,14,3
520-97-9570,840,12,2
166-45-3396,509,4,1
736-39-8226,668,14,2
484-55-9118,607,3,0
323-83-2056,675,7,0
145-94-0947,821,12,1
563-03-4930,593,2,0
831-31-2590,850,14,1
844-98-3102,850,4,0
836-79-6611,504,14,2
127-99-7778,734,6,0
519-75-8006,428,8,0
729-91-4086,728,2,0
856-30-5359,785,6,2
488-55-6504,517,11,0
815-19-9410,590,15,1
,506,12,0
213-76-5033,635,10,2
845-29-1461,850,6,0
428-65-4419,673,14,1
595-76-4568,726,6,2
260-15-8979,764,14,4
769-30-8964,604,15,2
035-06-9226,440,13,0
626-89-5790,769,4,0
197-59-5738,617,14,2
417-19-1254,497,2,0
250-23-5249,609,9,3
505-96-5218,551,9,0
233-84-6313,850,15,1
827-82-6405,375,10,3
708-98-0136,752,15,1
742-47-4199,735,2,0
271-41-4871,633,10,0
385-83-0181,787,6,0
600-43-9646,547,0,0
804-47-7538,819,3,0
290-47-0078,646,3,1
833-40-5452,850,4,1
063-61-4718,809,2,0
883-53-0243,793,7,1
391-04-6932,571,4,0
339-05-8292,656,9,0
585-49-1974,792,10,0
265-04-9800,547,11,2
889-19-8824,471,3,0
564-23-3217,798,4,0
264-93-0943,550,4,0
117-62-9109,783,15,1
381-79-8130,850,0,0
603-24-3943,768,7,0
601-21-8401,607,10,3
312-57-9739,781,2,0
093-56-1065,729,8,2
019-11-2136,643,13,4
026-29-6105,624,3,0
,744,1,0
016-98-8026,663,11,2
116-42-2211,850,14,1
483-86-0052,524,13,4
343-74-7718,569,12,4
557-48-7596,400,4,0
172-28-0096,587,11,1
003-07-3143,728,15,4
101-11-6054,537,2,0
720-87-3821,850,5,0
132-71-2406,774,9,2
847-96-5545,408,11,1
084-74-6892,525,3,0
750-69-4415,673,1,0
579-54-9458,466,8,2
624-09-4184,676,2,0
509-47-2220,743,11,1
820-04-6871,850,2,0
591-55-3702,548,3,0
497-11-7516,586,4,1
089-24-8552,761,7,1
030-45-5295,810,7,2
,742,3,1
029-52-4793,636,6,0
782-33-7283,850,2,0
072-08-6720,774,0,0
456-94-8749,501,14,3
430-17-4998,703,2,0
226-68-6304,667,15,1
637-96-4488,665,5,0
657-65-9795,397,7,0
803-30-7410,850,2,0
699-49-3472,792,7,1
592-20-3728,850,7,0
177-93-2857,632,13,2
171-47-4846,496,3,1
503-93-3405,626,1,0
035-72-8597,554,3,1
088-66-0766,810,0,0
564-46-8245,850,7,1
028-93-8261,577,0,0
,699,11,1
209-74-6880,645,7,0
750-76-9703,530,0,0
721-23-3364,452,14,1
851-47-1124,639,1,0
763-98-2529,523,15,0
756-95-3074,747,8,1
036-27-6390,471,8,0
033-27-8005,850,15,4
036-80-4036,712,1,0
,715,2,0
106-03-9831,736,7,0
833-25-1806,729,7,2
074-97-2831,558,5,1
678-09-4248,756,15,3
403-37-6412,657,8,2
448-12-9972,688,8,1
432-74-6226,521,5,0
502-28-9991,692,8,0
,799,6,1
888-11-1502,736,3,0
359-33-2205,529,10,0
788-47-1995,785,2,0
333-11-1040,832,12,2
783-36-6766,590,6,1
188-94-8919,584,13,1
277-31-3890,361,14,1
138-59-6339,652,4,1
078-98-2298,798,14,1
316-38-8486,556,5,0
,491,8,0
029-79-4399,775,4,0
004-17-5566,706,14,3
481-45-0773,850,2,0
667-35-0869,520,12,0
347-36-1066,814,15,3
860-93-1569,788,10,2
103-50-9236,699,15,0
233-90-6881,487,1,0
220-49-1965,523,0,0
309-18-5904,634,1,0
616-89-7692,709,2,0
368-83-7703,612,8,0
437-52-1180,850,13,1
411-97-4648,515,5,1
853-65-1718,410,7,0
123-37-2273,648,10,1
,538,9,1
705-81-8305,630,2,0
342-24-8956,680,3,0
802-32-3188,427,1,0
330-50-2970,744,8,1
677-41-6767,515,5,1
762-38-6383,848,15,0
422-20-5232,674,10,0
397-83-2061,737,1,0
541-13-2108,752,14,3
348-24-0793,775,5,0
,543,12,3
682-83-6297,595,1,0
422-72-3364,600,10,2
617-85-2621,808,6,0
491-80-2105,485,0,0
405-45-6637,398,14,4
262-43-3929,781,13,4
769-97-4002,569,2,0
542-20-1617,768,14,2
709-72-3764,611,5,1
631-21-3229,516,13,4
771-11-4697,722,1,0
074-09-9994,652,6,2
599-26-5794,850,9,2
886-96-7856,634,3,1
424-01-1679,820,0,0
878-92-4558,485,14,0
609-51-4985,385,4,0
415-24-6276,850,7,1
409-38-1393,563,14,3
278-79-6504,751,10,3
785-62-1783,850,13,2
838-98-1286,697,4,1
538-11-9704,850,7,1
594-27-2212,691,4,1
415-31-3073,366,12,0
644-14-5634,800,4,1
887-75-2698,671,1,0
154-28-8477,334,12,1
710-01-5866,766,2,0
406-20-8077,850,3,0
894-22-1559,641,2,0
013-47-5925,817,8,1
847-21-8577,697,2,0
726-01-4605,680,5,1
464-53-0775,695,1,0
436-68-3666,587,11,0
837-01-4957,640,5,1
503-52-2094,786,6,2
363-13-6345,800,13,1
,840,1,0
753-47-8826,703,7,0
327-54-5783,845,8,0
474-72-1000,836,8,2
005-19-3779,850,7,1
650-89-2654,758,2,0
317-53-8101,542,15,5
427-27-8918,841,14,4
672-11-7797,540,11,2
015-75-9963,497,12,0
517-55-8618,421,8,0
092-35-3578,528,7,2
050-48-0911,632,14,4
877-38-9992,810,1,0
,850,8,2
255-10-7467,708,6,0
247-69-1333,758,9,3
068-59-5962,699,8,1
813-28-8973,738,10,1
270-20-9626,850,12,2
223-25-6043,599,9,0
715-88-8443,707,8,1
745-35-4250,511,7,1
337-97-7763,708,13,1
845-38-4333,678,7,2
466-77-4679,727,3,0
056-69-5867,463,12,3
896-19-6556,612,13,1
452-58-9937,752,6,1
559-61-3737,746,13,0
261-42-9549,674,2,0
590-21-0670,717,9,0
655-02-0902,534,8,0
220-94-0489,850,11,3
236-32-8557,673,10,3
120-52-5061,802,14,1
071-11-9159,684,8,0
566-96-9285,751,12,4
468-34-4392,850,12,4
064-05-4195,815,3,1
405-04-5517,519,14,4
039-95-5176,727,8,2
434-31-0511,725,12,3
333-97-8003,431,11,2
501-54-6223,796,7,0
326-69-5710,628,3,1
057-01-2994,850,10,2
128-69-4855,631,1,0
323-92-3088,766,0,0
808-91-1980,502,0,0
744-96-4147,476,3,1
764-88-1206,655,0,0
512-58-9687,476,5,1
,748,4,0
235-77-2297,850,5,1
866-06-1906,680,4,0
802-59-5899,524,14,0
817-99-3667,482,2,0
691-51-3150,546,14,0
618-76-9117,850,10,2
484-50-8370,670,9,1
249-04-3047,850,3,0
798-42-5211,489,6,2
272-57-2476,687,14,0
236-87-2491,543,12,4
787-08-6072,820,2,0
776-77-7699,850,3,0
558-24-4071,850,4,0
824-58-4391,850,8,1
526-73-0411,426,0,0
838-94-9806,590,11,3
644-54-8587,662,10,3
487-33-8503,850,10,1
875-37-0914,850,14,2
672-95-3417,591,15,3
695-86-2369,699,4,1
289-69-3740,667,7,2
807-14-9260,694,2,0
855-33-2251,804,2,0
404-67-0524,732,6,2
409-78-2318,850,10,0
,707,13,2
204-90-9505,522,4,0
053-99-0972,683,8,1
119-21-8806,799,1,0
606-01-8514,300,14,3
784-56-9467,709,5,0
631-50-3854,790,11,1
772-44-7069,764,13,4
743-39-9407,835,5,1
126-14-6580,485,1,0
249-34-4234,648,13,1
262-74-6260,847,8,0
029-82-6478,679,13,2
182-61-0290,686,11,1
563-59-1456,850,11,2
536-22-0580,622,11,3
478-52-2600,614,4,1
034-90-5597,379,13,0
789-63-9153,613,15,4
390-06-5026,850,10,2
527-06-7458,617,2,0
429-41-5409,546,14,0
693-42-6208,755,10,2
,658,13,0
553-03-2167,417,10,3
339-22-8473,720,4,1
404-63-1211,604,15,5
849-36-3596,563,0,0
524-65-1805,850,8,2
596-75-9120,383,10,2
749-19-7835,429,5,1
311-58-4961,850,8,2
432-91-9353,444,7,1
549-19-3063,685,14,4
365-46-4518,617,0,0
272-43-9102,677,1,0
742-19-0827,826,8,0
670-30-3900,712,2,0
018-76-0218,850,7,1
256-97-9385,821,12,0
491-47-1867,762,9,3
810-52-2296,527,7,2
491-23-1559,730,12,0
069-96-8236,807,7,0
297-64-6775,410,12,2
,594,6,1
175-40-9271,453,0,0
118-90-9171,613,8,2
376-90-5851,468,10,2
321-46-9571,801,9,3
272-46-9840,643,14,1
106-05-0362,747,1,0
407-55-4831,739,13,3
535-07-3203,688,0,0
149-65-0697,701,5,1
797-07-6276,658,14,4
859-35-4886,559,4,1
605-13-0721,650,15,2
555-33-7108,650,9,0
527-94-9921,595,12,0
043-74-9044,799,7,2
201-12-8966,598,8,0
066-79-9268,764,7,0
008-74-4325,523,0,0
815-03-7085,850,0,0
624-44-5797,784,13,4
719-69-8280,529,15,4
419-25-5000,668,7,2
209-07-0275,701,10,0
836-92-3630,790,8,0
425-53-4272,850,13,2
204-92-2698,675,6,2
368-21-5564,498,6,2
487-25-4018,767,14,1
250-74-4085,850,9,0
769-68-6931,735,9,3
885-93-8140,661,10,1
146-14-3394,789,9,3
080-06-6218,850,1,0
509-44-8007,705,4,0
631-86-6414,744,1,0
555-71-9383,850,13,3
822-70-8064,732,12,0
142-91-7139,850,12,1
,766,2,0
839-64-4553,588,10,2
460-69-9517,645,8,2
212-84-5026,804,7,1
178-46-5395,547,2,0
531-88-1454,765,4,0
686-04-3051,752,11,0
408-48-9742,850,1,0
499-40-4542,605,10,0
375-41-6581,706,14,1
434-20-1480,736,5,0
203-74-8776,850,4,1
320-86-9658,586,6,0
506-89-5350,743,14,0
453-58-5956,571,2,0
832-94-1282,661,11,1
395-55-1208,657,8,1
625-02-7401,528,10,0
860-83-2490,850,4,0
004-56-4958,617,10,0
353-55-1312,574,8,2
890-01-3203,559,0,0
036-72-7450,503,14,0
234-05-5694,391,7,2
617-51-8612,542,5,0
896-01-3063,589,5,1
288-52-4758,827,1,0
005-04-7096,558,6,0
648-32-2744,300,15,3
764-72-9719,586,11,2
878-35-9791,718,9,1
415-71-1062,574,2,0
120-59-0053,358,8,2
449-98-2063,562,14,0
062-72-6813,503,0,0
289-52-2603,447,8,2
705-61-0295,754,8,0
074-80-5032,727,13,2
,786,3,0
,587,1,0
173-80-4873,647,6,0
321-98-1445,560,15,4
163-07-3484,686,5,0
191-74-9627,699,11,1
378-57-4680,850,11,2
542-52-0601,780,12,4
325-78-9927,633,10,2
215-29-7016,574,9,2
528-07-4357,850,9,3
895-65-3101,776,8,2
,846,7,0
762-23-7790,850,14,3
091-50-1924,401,11,2
518-20-0421,721,10,1
804-46-1659,782,7,2
014-21-9118,735,0,0
125-41-7336,850,14,3
531-87-5893,800,4,1
281-78-1913,590,14,0
196-54-1198,649,3,0
629-06-3067,686,1,0
146-88-0725,850,11,0
062-65-7591,670,11,0
248-89-9371,405,6,2
,558,4,1
252-31-1908,736,4,1
427-42-1360,827,0,0
008-41-4318,449,7,1
511-74-7702,587,12,1
635-03-6070,644,11,2
216-57-2763,477,5,0
847-51-4443,850,15,3
012-30-3918,730,15,3
887-61-7930,389,0,0
437-94-6044,532,6,1
701-60-6845,545,13,2
439-08-7172,582,3,1
,714,3,0
664-76-8277,501,10,1
642-43-8545,598,4,0
574-34-9732,527,11,0
861-08-8619,658,15,0
672-11-4159,614,11,3
